id,postID,name,lat,lng
0,1,Airport,-1.3247645,36.920414
1,1,Apartment,-1.2896259,36.7849302
2,1,Jamia Mosque,-1.2834155,36.820668
3,2,Ambasadeur Hotel,-1.2851907,36.825673
4,2,Hilton Hotel,-1.2852121,36.8244499
5,2,Matatu pickup,-1.2856412,36.8245733
6,2,Odeon Cinema,-1.2831795,36.824702
7,2,Koja Station,-1.2814204,36.8225884
8,2,Railway Bus Station,-1.2897117,36.8277812
9,2,Fire Station,-1.2815787,36.8231544
10,2,Gikomba Market,-1.28812,36.84149
11,5,Yaya Centre,-1.2926722,36.7877412
12,5,Java House Kimathi St,-1.2829811,36.8216443
13,5,Uchumi Supermarket,-1.3002877,36.7902946
14,5,Twin Oaks Apartments,-1.29031,36.78857
15,5,Capital Club,-1.26891,36.80762
16,5,The Juniper,-1.25969,36.78434
17,5,Simmer's Bar,-1.2849,36.8208
18,5,Sankara Nairobi,-1.26253,36.80231
19,5,Dalberg Offices,-1.26873,36.77441
20,6,Kereita Falls,-0.96246,36.66
21,7,Mount Longonot,-0.91251,36.45538
22,8,Narok,-1.09015,35.87739
23,8,Mara River,-1.42127,35.05245
24,8,Talek River,-1.42357,35.08595
25,8,Mara Intrepid Lodge,-1.41275,35.09912
26,9,FinTech in Ag Conference,-1.28773,36.76458
27,10,Brew Bistro Building,-1.29897,36.7654
28,11,Brew Bistro Building,-1.29897,36.7654
29,12,Brew Bistro Building,-1.29897,36.7654
30,13,Brew Bistro Building,-1.29897,36.7654
31,14,Brew Bistro Building,-1.29897,36.7654
32,14,iHub,-1.29786,36.79102
33,15,Brew Bistro Building,-1.29897,36.7654
34,16,Cyber Café,-1.3138,36.84685
35,16,Nyama Choma,-1.31341,36.84614
36,16,South B Shopping Market,-1.31137,36.83494
37,17,National Youth Service,-1.25508,36.85333
38,17,Allsopps Station,-1.24449,36.8681
39,17,Edson's Store,-1.23834,36.89684
40,17,Edson's Home,-1.24308,36.89691
41,17,Faraja Café,-1.28234,36.82249
42,17,Central Building,-1.28311,36.82301
43,17,KICC,-1.28864,36.82321
44,19,Makadara Stage,-1.45684,36.97504
45,19,Goat Butcher,-1.47738,36.96124
46,20,Curtains and Drapes,-1.47735,36.96115
47,20,Kitengela Bus Station,-1.47642,36.95834
48,21,Athi River,-1.29089,36.82829
49,21,Athi River Market,-1.44935,36.9781
50,21,Roadside Lunch,-1.4483,36.97739
51,21,Matatu Station,-1.45282,36.98013
52,22,Juja Main Stage,-1.10668,37.01521
53,22,JKUAT Stage,-1.10183,37.01423
54,22,JKUAT Fields,-1.09264,37.01505
55,22,Stephen's Business,-1.09813,37.017
56,23,GPO Bus Stop,-1.28585,36.81814
57,23,City Market,-1.28369,36.81963
58,23,Market Stalls Centre,-1.28341,36.81993
59,24,Josephat's Business,-1.09942,37.01601
60,25,Ann's Home,-1.23703,36.89772
61,25,Primary School,-1.24088,36.89663
62,26,Super Shop Deli,-1.1961,36.9245
63,26,Kahawa Wendani Stage,-1.19602,36.92362
64,26,Isaiah's Apartment,-1.19777,36.92687
65,26,Isaiah's Plot,-1.20088,36.93992
66,27,Grace's Home,-1.2833,36.87658
67,27,Local Matatu Stop,-1.28405,36.88028
68,27,Local Primary School,-1.28191,36.87675
69,27,Apartment Building,-1.28365,36.87323
70,27,Uhuru Junction,-1.28184,36.87167
71,29,Capital Club,-1.26891,36.80762
72,29,Mediteraneo (Italian),1.26473,36.80317
73,29,The Juniper,-1.25969,36.78434
74,29,Pete's (Mexican),-1.2981,36.79058
75,29,Ginza (Japanese),-1.29031,36.78282
76,29,Open House (Indian),-1.26408,36.80277
77,29,Thai House,-1.29957,36.76751
78,29,Habesha (Ethiopian),-1.29177,36.77984
79,29,Ozone Bar,-1.2903,36.77022
80,29,Chicken Inn,-1.30052,36.79087
81,30,Mara River,-1.42127,35.05245
82,30,Talek River,-1.42357,35.08595
83,31,Lunch with Corsmas,-1.28516,36.82651
84,31,Machakos Bus Station,-1.28594,36.83515
85,31,Gikomba Market,-1.28812,36.84149
